Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_034059_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_09.wav ,22.9294      ,19.5425
pc_20170728_034059_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_10.wav ,14.628       ,14.9109
pc_20170728_034059_ch3_sel_11_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_11.wav ,15.5004      ,14.9521
pc_20170728_034059_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_12.wav ,17.4591      ,7.9927
pc_20170728_034059_ch3_sel_13_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_13.wav ,11.9863      ,9.1936
pc_20170728_034059_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_14.wav ,3.3944       ,9.3443
pc_20170728_034059_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_16.wav ,7.1573       ,21.3025
pc_20170728_034059_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_17.wav ,10.2526      ,12.4709
pc_20170728_034059_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_18.wav ,16.4704      ,11.6321
pc_20170728_034059_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_19.wav ,19.9194      ,18.7026
pc_20170728_034059_ch3_sel_20_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_20.wav ,10.8148      ,2.6559
pc_20170728_034059_ch3_sel_21_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_21.wav ,9.206        ,12.7995
pc_20170728_034059_ch3_sel_22_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_22.wav ,11.5994      ,13.6191
pc_20170728_034059_ch3_sel_23_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_23.wav ,10.7092      ,13.6175
pc_20170728_034059_ch3_sel_24_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_24.wav ,2.1292       ,10.048
pc_20170728_034059_ch3_sel_25_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_25.wav ,14.3837      ,19.9713
pc_20170728_034059_ch3_sel_27_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_27.wav ,4.1252       ,7.0849
pc_20170728_034059_ch3_sel_29_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_29.wav ,6.0462       ,13.7022
pc_20170728_034359_ch04_sel05_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel05.wav ,7.5737       ,13.1806
pc_20170728_034359_ch04_sel07_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel07.wav ,7.8462       ,13.0326
pc_20170728_034359_ch04_sel12_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel12.wav ,3.7842       ,7.8233
pc_20170728_034359_ch04_sel13_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel13.wav ,6.3546       ,16.9858
pc_20170728_034359_ch04_sel28_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel28.wav ,8.3311       ,11.8253
pc_20170728_034359_ch04_sel43_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel43.wav ,10.7105      ,15.8934
pc_20170728_034359_ch04_sel44_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel44.wav ,10.6337      ,16.386
pc_20170728_034459_ch06_sel01_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel01.wav ,1.5799       ,4.848
pc_20170728_034459_ch06_sel02_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel02.wav ,2.9107       ,5.6315
pc_20170728_034459_ch06_sel03_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel03.wav ,3.1059       ,6.241
pc_20170728_034459_ch06_sel04_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel04.wav ,0.84307      ,4.6987
pc_20170728_034459_ch06_sel05_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel05.wav ,3.2249       ,8.2166
pc_20170728_034459_ch06_sel06_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel06.wav ,4.5946       ,7.6634
pc_20170728_034459_ch06_sel10_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel10.wav ,11.7488      ,15.0024
pc_20170728_034459_ch06_sel28_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel28.wav ,4.9636       ,7.5415
pc_20170728_034459_ch06_sel30_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel30.wav ,7.8304       ,10.8098
pc_20170728_034759_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_04.wav ,4.0834       ,12.4679
pc_20170728_034759_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_10.wav ,1.2681       ,8.2814
pc_20170728_034759_ch3_sel_11_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_11.wav ,4.8502       ,8.0252
pc_20170728_034759_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_12.wav ,7.8119       ,11.3153
pc_20170728_034759_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_14.wav ,5.1829       ,9.6133
pc_20170728_034759_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_15.wav ,1.2754       ,7.7751
pc_20170728_034759_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_16.wav ,0.97962      ,10.8975
pc_20170728_034759_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_17.wav ,1.1385       ,12.2584
pc_20170728_034759_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_18.wav ,4.2285       ,12.1297
pc_20170728_034759_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_19.wav ,12.5731      ,15.5799
pc_20170728_034759_ch3_sel_23_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_23.wav ,3.9961       ,12.7813
pc_20170728_034759_ch3_sel_24_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_24.wav ,17.3301      ,17.4113
pc_20170728_034759_ch3_sel_25_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_25.wav ,13.9581      ,23.2206
