Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_034059_ch3_sel_25_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_25.wav ,16.7239      ,19.9713
pc_20170728_034059_ch3_sel_27_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_27.wav ,6.8919       ,7.0849
pc_20170728_034059_ch3_sel_29_Sette_AC_101_Hawaii.csv     ,20170728_034059_ch3_sel_29.wav ,8.2019       ,13.7022
pc_20170728_034359_ch04_sel05_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel05.wav ,10.9558      ,13.1806
pc_20170728_034359_ch04_sel07_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel07.wav ,10.5999      ,13.0326
pc_20170728_034359_ch04_sel12_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel12.wav ,4.8746       ,7.8233
pc_20170728_034359_ch04_sel13_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel13.wav ,14.2893      ,16.9858
pc_20170728_034359_ch04_sel28_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel28.wav ,8.8877       ,11.8253
pc_20170728_034359_ch04_sel43_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel43.wav ,14.5321      ,15.8934
pc_20170728_034359_ch04_sel44_setteac101_hawaii_ROCCA.csv ,20170728_034359_ch04_sel44.wav ,11.8729      ,16.386
pc_20170728_034459_ch06_sel01_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel01.wav ,1.9216       ,4.848
pc_20170728_034459_ch06_sel02_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel02.wav ,4.0319       ,5.6315
pc_20170728_034459_ch06_sel03_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel03.wav ,4.882        ,6.241
pc_20170728_034459_ch06_sel04_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel04.wav ,2.371        ,4.6987
pc_20170728_034459_ch06_sel05_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel05.wav ,6.2774       ,8.2166
pc_20170728_034459_ch06_sel06_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel06.wav ,6.1522       ,7.6634
pc_20170728_034459_ch06_sel10_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel10.wav ,12.5341      ,15.0024
pc_20170728_034459_ch06_sel28_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel28.wav ,5.1108       ,7.5415
pc_20170728_034459_ch06_sel30_setteac101_hawaii_ROCCA.csv ,20170728_034459_ch06_sel30.wav ,8.4179       ,10.8098
pc_20170728_034759_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_04.wav ,5.1148       ,12.4679
pc_20170728_034759_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_10.wav ,1.3093       ,8.2814
pc_20170728_034759_ch3_sel_11_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_11.wav ,5.5284       ,8.0252
pc_20170728_034759_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_12.wav ,10.7039      ,11.3153
pc_20170728_034759_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_14.wav ,6.8289       ,9.6133
pc_20170728_034759_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_15.wav ,1.5091       ,7.7751
pc_20170728_034759_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_16.wav ,1.1663       ,10.8975
pc_20170728_034759_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_17.wav ,1.671        ,12.2584
pc_20170728_034759_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_18.wav ,4.9485       ,12.1297
pc_20170728_034759_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_19.wav ,20.1904      ,15.5799
pc_20170728_034759_ch3_sel_23_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_23.wav ,4.6947       ,12.7813
pc_20170728_034759_ch3_sel_24_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_24.wav ,18.7555      ,17.4113
pc_20170728_034759_ch3_sel_25_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_25.wav ,15.5889      ,23.2206
pc_20170728_034759_ch3_sel_27_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_27.wav ,18.7467      ,16.5705
pc_20170728_034759_ch3_sel_28_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_28.wav ,18.7415      ,16.1957
pc_20170728_034759_ch3_sel_29_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_29.wav ,13.3013      ,19.8804
pc_20170728_034759_ch3_sel_38_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_38.wav ,14.8493      ,16.1612
pc_20170728_034759_ch3_sel_39_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_39.wav ,13.2276      ,14.9605
pc_20170728_034759_ch3_sel_43_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_43.wav ,13.3256      ,10.0817
pc_20170728_034759_ch3_sel_62_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_62.wav ,6.0259       ,4.8891
pc_20170728_034759_ch3_sel_65_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_65.wav ,7.6255       ,5.0601
pc_20170728_034759_ch3_sel_66_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_66.wav ,5.982        ,3.2656
pc_20170728_034759_ch3_sel_69_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_69.wav ,15.6199      ,8.8047
pc_20170728_034759_ch3_sel_74_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_74.wav ,7.5086       ,6.3342
pc_20170728_034759_ch3_sel_76_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_76.wav ,5.4979       ,5.6424
pc_20170728_034759_ch3_sel_86_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_86.wav ,5.7119       ,8.983
pc_20170728_034759_ch3_sel_88_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_88.wav ,9.9519       ,9.4247
pc_20170728_034759_ch3_sel_90_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_90.wav ,18.0166      ,13.1575
pc_20170728_034759_ch3_sel_91_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_91.wav ,4.6221       ,9.8183
pc_20170728_034759_ch3_sel_92_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_92.wav ,3.6367       ,5.8871
pc_20170728_034959_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_01.wav ,5.9256       ,10.7361
pc_20170728_034959_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_02.wav ,13.4739      ,14.7113
pc_20170728_034959_ch3_sel_06_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_06.wav ,22.361       ,10.4365
pc_20170728_034959_ch3_sel_07_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_07.wav ,6.0208       ,14.5309
pc_20170728_034959_ch3_sel_08_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_08.wav ,1.3768       ,1.8736
pc_20170728_034959_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_09.wav ,18.3933      ,15.1444
pc_20170728_034959_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_10.wav ,18.7968      ,13.2205
pc_20170728_034959_ch3_sel_11_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_11.wav ,17.2188      ,18.2509
